original_row_index,column,geohash,day,timestamp,filled_value,rule_used,fill_successful
3354,RoadType,qp09t5,48,1:0,Residential,RT-1: geohash mode,True
3483,RoadType,qp03y3,48,1:0,Residential,RT-1: geohash mode,True
3612,RoadType,qp09bp,48,1:0,Residential,RT-1: geohash mode,True
3741,RoadType,qp08fx,48,1:15,Residential,RT-1: geohash mode,True
3870,RoadType,qp0920,48,1:15,Residential,RT-1: geohash mode,True
3999,RoadType,qp03mw,48,1:15,Residential,RT-1: geohash mode,True
4128,RoadType,qp09t4,48,1:15,Residential,RT-1: geohash mode,True
4257,RoadType,qp09ex,48,1:15,Residential,RT-1: geohash mode,True
4386,RoadType,qp09gj,48,1:15,Residential,RT-1: geohash mode,True
4515,RoadType,qp0d4v,48,1:15,Residential,RT-1: geohash mode,True
4644,RoadType,qp03pw,48,1:30,Residential,RT-1: geohash mode,True
4773,RoadType,qp093g,48,1:30,Residential,RT-1: geohash mode,True
4902,RoadType,qp09d8,48,1:30,Highway,RT-1: geohash mode,True
5031,RoadType,qp03wt,48,1:30,Residential,RT-1: geohash mode,True
5160,RoadType,qp09b6,48,1:30,Residential,RT-1: geohash mode,True
5289,RoadType,qp0d00,48,1:30,Residential,RT-1: geohash mode,True
5418,RoadType,qp03nb,48,1:45,Residential,RT-1: geohash mode,True
5547,RoadType,qp09jp,48,1:45,Residential,RT-1: geohash mode,True
5676,RoadType,qp03mm,48,1:45,Residential,RT-1: geohash mode,True
5805,RoadType,qp03td,48,1:45,Residential,RT-1: geohash mode,True
5934,RoadType,qp09dq,48,1:45,Residential,RT-1: geohash mode,True
6063,RoadType,qp09fk,48,1:45,Residential,RT-1: geohash mode,True
6192,RoadType,qp0dhe,48,1:45,Residential,RT-1: geohash mode,True
6321,RoadType,qp03p7,48,2:0,Highway,RT-1: geohash mode,True
6450,RoadType,qp03q9,48,2:0,Residential,RT-1: geohash mode,True
6579,RoadType,qp096w,48,2:0,Street,RT-1: geohash mode,True
6708,RoadType,qp098e,48,2:0,Residential,RT-1: geohash mode,True
6837,RoadType,qp03vb,48,2:0,Residential,RT-1: geohash mode,True
6966,RoadType,qp09vm,48,2:0,Residential,RT-1: geohash mode,True
7095,RoadType,qp0dht,48,2:0,Residential,RT-1: geohash mode,True
7224,RoadType,qp09hh,48,2:15,Residential,RT-1: geohash mode,True
7353,RoadType,qp09k3,48,2:15,Residential,RT-1: geohash mode,True
7482,RoadType,qp092x,48,2:15,Residential,RT-1: geohash mode,True
7611,RoadType,qp09sg,48,2:15,Residential,RT-1: geohash mode,True
7740,RoadType,qp09gb,48,2:15,Residential,RT-1: geohash mode,True
7869,RoadType,qp09cn,48,2:15,Residential,RT-1: geohash mode,True
7998,RoadType,qp06pq,48,2:15,Residential,RT-1: geohash mode,True
8127,RoadType,qp09hh,48,2:30,Residential,RT-1: geohash mode,True
8256,RoadType,qp09m1,48,2:30,Residential,RT-1: geohash mode,True
8385,RoadType,qp03rr,48,2:30,Residential,RT-1: geohash mode,True
8514,RoadType,qp09t5,48,2:30,Residential,RT-1: geohash mode,True
8643,RoadType,qp09g8,48,2:30,Residential,RT-1: geohash mode,True
8772,RoadType,qp09fq,48,2:30,Residential,RT-1: geohash mode,True
8901,RoadType,qp0d1n,48,2:30,Residential,RT-1: geohash mode,True
9030,RoadType,qp09hv,48,2:45,Residential,RT-1: geohash mode,True
9159,RoadType,qp0936,48,2:45,Residential,RT-1: geohash mode,True
9288,RoadType,qp09mr,48,2:45,Residential,RT-1: geohash mode,True
9417,RoadType,qp099s,48,2:45,Residential,RT-1: geohash mode,True
9546,RoadType,qp09cc,48,2:45,Residential,RT-1: geohash mode,True
9675,RoadType,qp03zr,48,2:45,Residential,RT-1: geohash mode,True
9804,RoadType,qp02zu,48,3:0,Residential,RT-1: geohash mode,True
9933,RoadType,qp091y,48,3:0,Residential,RT-1: geohash mode,True
10062,RoadType,qp03r5,48,3:0,Residential,RT-1: geohash mode,True
10191,RoadType,qp09db,48,3:0,Highway,RT-1: geohash mode,True
10320,RoadType,qp03wv,48,3:0,Residential,RT-1: geohash mode,True
10449,RoadType,qp09fd,48,3:0,Residential,RT-1: geohash mode,True
10578,RoadType,qp0d50,48,3:0,Residential,RT-1: geohash mode,True
10707,RoadType,qp08fy,48,3:15,Residential,RT-1: geohash mode,True
10836,RoadType,qp03pz,48,3:15,Residential,RT-1: geohash mode,True
10965,RoadType,qp03qs,48,3:15,Residential,RT-1: geohash mode,True
11094,RoadType,qp03x9,48,3:15,Residential,RT-1: geohash mode,True
11223,RoadType,qp03tw,48,3:15,Residential,RT-1: geohash mode,True
11352,RoadType,qp03z7,48,3:15,Residential,RT-1: geohash mode,True
11481,RoadType,qp0dhb,48,3:15,Residential,RT-1: geohash mode,True
11610,RoadType,qp08bp,48,3:30,Residential,RT-1: geohash mode,True
11739,RoadType,qp094z,48,3:30,Residential,RT-1: geohash mode,True
11868,RoadType,qp096h,48,3:30,Residential,RT-1: geohash mode,True
11997,RoadType,qp09d1,48,3:30,Residential,RT-1: geohash mode,True
12126,RoadType,qp03wy,48,3:30,Residential,RT-1: geohash mode,True
12255,RoadType,qp09fg,48,3:30,Residential,RT-1: geohash mode,True
12384,RoadType,qp0d13,48,3:30,Residential,RT-1: geohash mode,True
12513,RoadType,qp02zz,48,3:45,Highway,RT-1: geohash mode,True
12642,RoadType,qp03pz,48,3:45,Residential,RT-1: geohash mode,True
12771,RoadType,qp03qu,48,3:45,Residential,RT-1: geohash mode,True
12900,RoadType,qp0981,48,3:45,Residential,RT-1: geohash mode,True
13029,RoadType,qp09st,48,3:45,Residential,RT-1: geohash mode,True
13158,RoadType,qp03ze,48,3:45,Residential,RT-1: geohash mode,True
13287,RoadType,qp06n9,48,3:45,Residential,RT-1: geohash mode,True
13416,RoadType,qp08gm,48,4:0,Residential,RT-1: geohash mode,True
13545,RoadType,qp094n,48,4:0,Residential,RT-1: geohash mode,True
13674,RoadType,qp03re,48,4:0,Residential,RT-1: geohash mode,True
13803,RoadType,qp0992,48,4:0,Residential,RT-1: geohash mode,True
13932,RoadType,qp03tm,48,4:0,Residential,RT-1: geohash mode,True
14061,RoadType,qp03yf,48,4:0,Residential,RT-1: geohash mode,True
14190,RoadType,qp09vp,48,4:0,Residential,RT-1: geohash mode,True
14319,RoadType,qp08c5,48,4:15,Residential,RT-1: geohash mode,True
14448,RoadType,qp09hv,48,4:15,Residential,RT-1: geohash mode,True
14577,RoadType,qp093f,48,4:15,Residential,RT-1: geohash mode,True
14706,RoadType,qp03t8,48,4:15,Residential,RT-1: geohash mode,True
14835,RoadType,qp098k,48,4:15,Residential,RT-1: geohash mode,True
14964,RoadType,qp09f3,48,4:15,Residential,RT-1: geohash mode,True
15093,RoadType,qp03zz,48,4:15,Residential,RT-1: geohash mode,True
15222,RoadType,qp02zc,48,4:30,Residential,RT-1: geohash mode,True
15351,RoadType,qp094j,48,4:30,Residential,RT-1: geohash mode,True
15480,RoadType,qp03qd,48,4:30,Residential,RT-1: geohash mode,True
15609,RoadType,qp096p,48,4:30,Residential,RT-1: geohash mode,True
15738,RoadType,qp03wh,48,4:30,Residential,RT-1: geohash mode,True
15867,RoadType,qp09v0,48,4:30,Residential,RT-1: geohash mode,True
15996,RoadType,qp09gw,48,4:30,Residential,RT-1: geohash mode,True
16125,RoadType,qp0dnj,48,4:30,Residential,RT-1: geohash mode,True
16254,RoadType,qp094h,48,4:45,Residential,RT-1: geohash mode,True
16383,RoadType,qp0929,48,4:45,Residential,RT-1: geohash mode,True
16512,RoadType,qp093y,48,4:45,Residential,RT-1: geohash mode,True
16641,RoadType,qp03xe,48,4:45,Residential,RT-1: geohash mode,True
16770,RoadType,qp09tx,48,4:45,Residential,RT-1: geohash mode,True
16899,RoadType,qp09ut,48,4:45,Residential,RT-1: geohash mode,True
17028,RoadType,qp0dhk,48,4:45,Residential,RT-1: geohash mode,True
17157,RoadType,qp09h4,48,5:0,Residential,RT-1: geohash mode,True
17286,RoadType,qp09k2,48,5:0,Residential,RT-1: geohash mode,True
17415,RoadType,qp03my,48,5:0,Residential,RT-1: geohash mode,True
17544,RoadType,qp09df,48,5:0,Residential,RT-1: geohash mode,True
17673,RoadType,qp03xz,48,5:0,Residential,RT-1: geohash mode,True
17802,RoadType,qp09cj,48,5:0,Residential,RT-1: geohash mode,True
17931,RoadType,qp06ns,48,5:0,Residential,RT-1: geohash mode,True
18060,RoadType,qp03pf,48,5:15,Residential,RT-1: geohash mode,True
18189,RoadType,qp09k0,48,5:15,Residential,RT-1: geohash mode,True
18318,RoadType,qp03my,48,5:15,Residential,RT-1: geohash mode,True
18447,RoadType,qp09sd,48,5:15,Residential,RT-1: geohash mode,True
18576,RoadType,qp09dp,48,5:15,Residential,RT-1: geohash mode,True
18705,RoadType,qp09bj,48,5:15,Residential,RT-1: geohash mode,True
18834,RoadType,qp0dhe,48,5:15,Residential,RT-1: geohash mode,True
18963,RoadType,qp095c,48,5:30,Residential,RT-1: geohash mode,True
19092,RoadType,qp097b,48,5:30,Residential,RT-1: geohash mode,True
19221,RoadType,qp03mq,48,5:30,Residential,RT-1: geohash mode,True
19350,RoadType,qp09e4,48,5:30,Residential,RT-1: geohash mode,True
19479,RoadType,qp03xz,48,5:30,Residential,RT-1: geohash mode,True
19608,RoadType,qp03zt,48,5:30,Residential,RT-1: geohash mode,True
19737,RoadType,qp06pk,48,5:30,Residential,RT-1: geohash mode,True
19866,RoadType,qp03pd,48,5:45,Residential,RT-1: geohash mode,True
19995,RoadType,qp096b,48,5:45,Residential,RT-1: geohash mode,True
20124,RoadType,qp097v,48,5:45,Street,RT-1: geohash mode,True
20253,RoadType,qp099f,48,5:45,Residential,RT-1: geohash mode,True
20382,RoadType,qp03xz,48,5:45,Residential,RT-1: geohash mode,True
20511,RoadType,qp09yh,48,5:45,Residential,RT-1: geohash mode,True
20640,RoadType,qp06p7,48,5:45,Residential,RT-1: geohash mode,True
20769,RoadType,qp0903,48,6:0,Residential,RT-1: geohash mode,True
20898,RoadType,qp03mb,48,6:0,Residential,RT-1: geohash mode,True
21027,RoadType,qp03rj,48,6:0,Residential,RT-1: geohash mode,True
21156,RoadType,qp03tf,48,6:0,Residential,RT-1: geohash mode,True
21285,RoadType,qp099y,48,6:0,Residential,RT-1: geohash mode,True
21414,RoadType,qp03ys,48,6:0,Residential,RT-1: geohash mode,True
21543,RoadType,qp0dh9,48,6:0,Residential,RT-1: geohash mode,True
21672,RoadType,qp08gz,48,6:15,Residential,RT-1: geohash mode,True
21801,RoadType,qp090p,48,6:15,Residential,RT-1: geohash mode,True
21930,RoadType,qp03ru,48,6:15,Residential,RT-1: geohash mode,True
22059,RoadType,qp098c,48,6:15,Residential,RT-1: geohash mode,True
22188,RoadType,qp09tm,48,6:15,Residential,RT-1: geohash mode,True
22317,RoadType,qp09f7,48,6:15,Residential,RT-1: geohash mode,True
22446,RoadType,qp06p9,48,6:15,Residential,RT-1: geohash mode,True
22575,RoadType,qp02yz,48,6:30,Residential,RT-1: geohash mode,True
22704,RoadType,qp09hw,48,6:30,Residential,RT-1: geohash mode,True
22833,RoadType,qp092e,48,6:30,Residential,RT-1: geohash mode,True
22962,RoadType,qp09e8,48,6:30,Residential,RT-1: geohash mode,True
23091,RoadType,qp03xj,48,6:30,Residential,RT-1: geohash mode,True
23220,RoadType,qp09bd,48,6:30,Residential,RT-1: geohash mode,True
23349,RoadType,qp0d00,48,6:30,Residential,RT-1: geohash mode,True
23478,RoadType,qp02zv,48,6:45,Residential,RT-1: geohash mode,True
23607,RoadType,qp03pq,48,6:45,Residential,RT-1: geohash mode,True
23736,RoadType,qp03me,48,6:45,Residential,RT-1: geohash mode,True
23865,RoadType,qp0992,48,6:45,Residential,RT-1: geohash mode,True
23994,RoadType,qp03wm,48,6:45,Residential,RT-1: geohash mode,True
24123,RoadType,qp09b6,48,6:45,Residential,RT-1: geohash mode,True
24252,RoadType,qp0d00,48,6:45,Residential,RT-1: geohash mode,True
24381,RoadType,qp08gm,48,7:0,Residential,RT-1: geohash mode,True
24510,RoadType,qp091w,48,7:0,Residential,RT-1: geohash mode,True
24639,RoadType,qp03r7,48,7:0,Residential,RT-1: geohash mode,True
24768,RoadType,qp099b,48,7:0,Residential,RT-1: geohash mode,True
24897,RoadType,qp09tk,48,7:0,Residential,RT-1: geohash mode,True
25026,RoadType,qp09b6,48,7:0,Residential,RT-1: geohash mode,True
25155,RoadType,qp06n8,48,7:0,Residential,RT-1: geohash mode,True
25284,RoadType,qp02zv,48,7:15,Residential,RT-1: geohash mode,True
25413,RoadType,qp03py,48,7:15,Residential,RT-1: geohash mode,True
25542,RoadType,qp03r7,48,7:15,Residential,RT-1: geohash mode,True
25671,RoadType,qp09d2,48,7:15,Highway,RT-1: geohash mode,True
25800,RoadType,qp03wj,48,7:15,Residential,RT-1: geohash mode,True
25929,RoadType,qp09f6,48,7:15,Residential,RT-1: geohash mode,True
26058,RoadType,qp0d52,48,7:15,Residential,RT-1: geohash mode,True
26187,RoadType,qp02zz,48,7:30,Highway,RT-1: geohash mode,True
26316,RoadType,qp03nz,48,7:30,Residential,RT-1: geohash mode,True
26445,RoadType,qp03rs,48,7:30,Residential,RT-1: geohash mode,True
26574,RoadType,qp0989,48,7:30,Residential,RT-1: geohash mode,True
26703,RoadType,qp03wn,48,7:30,Residential,RT-1: geohash mode,True
26832,RoadType,qp09g7,48,7:30,Residential,RT-1: geohash mode,True
26961,RoadType,qp0dh9,48,7:30,Residential,RT-1: geohash mode,True
27090,RoadType,qp090b,48,7:45,Highway,RT-1: geohash mode,True
27219,RoadType,qp09hp,48,7:45,Residential,RT-1: geohash mode,True
27348,RoadType,qp097u,48,7:45,Residential,RT-1: geohash mode,True
27477,RoadType,qp03t6,48,7:45,Residential,RT-1: geohash mode,True
27606,RoadType,qp09dq,48,7:45,Residential,RT-1: geohash mode,True
27735,RoadType,qp03zh,48,7:45,Residential,RT-1: geohash mode,True
27864,RoadType,qp0d54,48,7:45,Residential,RT-1: geohash mode,True
27993,RoadType,qp0951,48,8:0,Residential,RT-1: geohash mode,True
28122,RoadType,qp093b,48,8:0,Residential,RT-1: geohash mode,True
28251,RoadType,qp096t,48,8:0,Residential,RT-1: geohash mode,True
28380,RoadType,qp09e4,48,8:0,Residential,RT-1: geohash mode,True
28509,RoadType,qp099x,48,8:0,Residential,RT-1: geohash mode,True
28638,RoadType,qp09gj,48,8:0,Residential,RT-1: geohash mode,True
28767,RoadType,qp0djj,48,8:0,Residential,RT-1: geohash mode,True
28896,RoadType,qp094k,48,8:15,Residential,RT-1: geohash mode,True
29025,RoadType,qp0961,48,8:15,Residential,RT-1: geohash mode,True
29154,RoadType,qp09qn,48,8:15,Residential,RT-1: geohash mode,True
29283,RoadType,qp09d7,48,8:15,Residential,RT-1: geohash mode,True
29412,RoadType,qp09g8,48,8:15,Residential,RT-1: geohash mode,True
29541,RoadType,qp09fw,48,8:15,Residential,RT-1: geohash mode,True
29670,RoadType,qp02ze,48,8:30,Residential,RT-1: geohash mode,True
29799,RoadType,qp03jq,48,8:30,Residential,RT-1: geohash mode,True
29928,RoadType,qp09kf,48,8:30,Residential,RT-1: geohash mode,True
30057,RoadType,qp0982,48,8:30,Residential,RT-1: geohash mode,True
30186,RoadType,qp09ss,48,8:30,Residential,RT-1: geohash mode,True
30315,RoadType,qp03z6,48,8:30,Residential,RT-1: geohash mode,True
30444,RoadType,qp0d48,48,8:30,Residential,RT-1: geohash mode,True
30573,RoadType,qp08cn,48,8:45,Residential,RT-1: geohash mode,True
30702,RoadType,qp03jx,48,8:45,Residential,RT-1: geohash mode,True
30831,RoadType,qp03rh,48,8:45,Residential,RT-1: geohash mode,True
30960,RoadType,qp03wc,48,8:45,Residential,RT-1: geohash mode,True
31089,RoadType,qp09st,48,8:45,Residential,RT-1: geohash mode,True
31218,RoadType,qp09cg,48,8:45,Residential,RT-1: geohash mode,True
31347,RoadType,qp0d03,48,8:45,Residential,RT-1: geohash mode,True
31476,RoadType,qp02zp,48,9:0,Residential,RT-1: geohash mode,True
31605,RoadType,qp03nx,48,9:0,Residential,RT-1: geohash mode,True
31734,RoadType,qp03ru,48,9:0,Residential,RT-1: geohash mode,True
31863,RoadType,qp0983,48,9:0,Residential,RT-1: geohash mode,True
31992,RoadType,qp03wq,48,9:0,Residential,RT-1: geohash mode,True
32121,RoadType,qp09fg,48,9:0,Residential,RT-1: geohash mode,True
32250,RoadType,qp0dj3,48,9:0,Residential,RT-1: geohash mode,True
32379,RoadType,qp090b,48,9:15,Highway,RT-1: geohash mode,True
32508,RoadType,qp03mb,48,9:15,Residential,RT-1: geohash mode,True
32637,RoadType,qp03rv,48,9:15,Residential,RT-1: geohash mode,True
32766,RoadType,qp03x6,48,9:15,Residential,RT-1: geohash mode,True
32895,RoadType,qp03xr,48,9:15,Residential,RT-1: geohash mode,True
33024,RoadType,qp09yh,48,9:15,Residential,RT-1: geohash mode,True
33153,RoadType,qp0dj7,48,9:15,Residential,RT-1: geohash mode,True
33282,RoadType,qp0907,48,9:30,Residential,RT-1: geohash mode,True
33411,RoadType,qp03r1,48,9:30,Residential,RT-1: geohash mode,True
33540,RoadType,qp093y,48,9:30,Residential,RT-1: geohash mode,True
33669,RoadType,qp03x7,48,9:30,Residential,RT-1: geohash mode,True
33798,RoadType,qp03y0,48,9:30,Residential,RT-1: geohash mode,True
33927,RoadType,qp09vj,48,9:30,Residential,RT-1: geohash mode,True
34056,RoadType,qp0d4t,48,9:30,Residential,RT-1: geohash mode,True
34185,RoadType,qp090s,48,9:45,Residential,RT-1: geohash mode,True
34314,RoadType,qp0971,48,9:45,Residential,RT-1: geohash mode,True
34443,RoadType,qp03mz,48,9:45,Residential,RT-1: geohash mode,True
34572,RoadType,qp09d7,48,9:45,Residential,RT-1: geohash mode,True
34701,RoadType,qp09b0,48,9:45,Residential,RT-1: geohash mode,True
34830,RoadType,qp03zn,48,9:45,Residential,RT-1: geohash mode,True
34959,RoadType,qp0d5m,48,9:45,Residential,RT-1: geohash mode,True
35088,RoadType,qp094h,48,10:0,Residential,RT-1: geohash mode,True
35217,RoadType,qp097c,48,10:0,Residential,RT-1: geohash mode,True
35346,RoadType,qp09mw,48,10:0,Residential,RT-1: geohash mode,True
35475,RoadType,qp09d7,48,10:0,Residential,RT-1: geohash mode,True
35604,RoadType,qp09b2,48,10:0,Residential,RT-1: geohash mode,True
35733,RoadType,qp09bn,48,10:0,Residential,RT-1: geohash mode,True
35862,RoadType,qp0djm,48,10:0,Residential,RT-1: geohash mode,True
35991,RoadType,qp094k,48,10:15,Residential,RT-1: geohash mode,True
36120,RoadType,qp09k1,48,10:15,Residential,RT-1: geohash mode,True
36249,RoadType,qp092r,48,10:15,Residential,RT-1: geohash mode,True
36378,RoadType,qp09sg,48,10:15,Residential,RT-1: geohash mode,True
36507,RoadType,qp03y9,48,10:15,Residential,RT-1: geohash mode,True
36636,RoadType,qp09gw,48,10:15,Residential,RT-1: geohash mode,True
36765,RoadType,qp0d1q,48,10:15,Residential,RT-1: geohash mode,True
36894,RoadType,qp095u,48,10:30,Residential,RT-1: geohash mode,True
37023,RoadType,qp09m1,48,10:30,Residential,RT-1: geohash mode,True
37152,RoadType,qp03rr,48,10:30,Residential,RT-1: geohash mode,True
37281,RoadType,qp09dg,48,10:30,Residential,RT-1: geohash mode,True
37410,RoadType,qp09g8,48,10:30,Residential,RT-1: geohash mode,True
37539,RoadType,qp09cw,48,10:30,Residential,RT-1: geohash mode,True
37668,RoadType,qp0d0q,48,10:30,Residential,RT-1: geohash mode,True
37797,RoadType,qp091u,48,10:45,Residential,RT-1: geohash mode,True
37926,RoadType,qp0921,48,10:45,Residential,RT-1: geohash mode,True
38055,RoadType,qp096y,48,10:45,Residential,RT-1: geohash mode,True
38184,RoadType,qp03x7,48,10:45,Residential,RT-1: geohash mode,True
38313,RoadType,qp09tx,48,10:45,Residential,RT-1: geohash mode,True
38442,RoadType,qp09uj,48,10:45,Residential,RT-1: geohash mode,True
38571,RoadType,qp0djh,48,10:45,Residential,RT-1: geohash mode,True
38700,RoadType,qp03p7,48,11:0,Highway,RT-1: geohash mode,True
38829,RoadType,qp03m9,48,11:0,Residential,RT-1: geohash mode,True
38958,RoadType,qp096n,48,11:0,Residential,RT-1: geohash mode,True
39087,RoadType,qp03we,48,11:0,Residential,RT-1: geohash mode,True
39216,RoadType,qp09sz,48,11:0,Residential,RT-1: geohash mode,True
39345,RoadType,qp09ut,48,11:0,Residential,RT-1: geohash mode,True
39474,RoadType,qp0d0j,48,11:0,Residential,RT-1: geohash mode,True
39603,RoadType,qp09h4,48,11:15,Residential,RT-1: geohash mode,True
39732,RoadType,qp09m8,48,11:15,Residential,RT-1: geohash mode,True
39861,RoadType,qp092q,48,11:15,Street,RT-1: geohash mode,True
39990,RoadType,qp03w5,48,11:15,Residential,RT-1: geohash mode,True
40119,RoadType,qp09tr,48,11:15,Residential,RT-1: geohash mode,True
40248,RoadType,qp03yw,48,11:15,Residential,RT-1: geohash mode,True
40377,RoadType,qp0dhw,48,11:15,Residential,RT-1: geohash mode,True
40506,RoadType,qp090j,48,11:30,Residential,RT-1: geohash mode,True
40635,RoadType,qp03qf,48,11:30,Street,RT-1: geohash mode,True
40764,RoadType,qp093p,48,11:30,Residential,RT-1: geohash mode,True
40893,RoadType,qp09t5,48,11:30,Residential,RT-1: geohash mode,True
41022,RoadType,qp09u8,48,11:30,Residential,RT-1: geohash mode,True
41151,RoadType,qp09uy,48,11:30,Highway,RT-1: geohash mode,True
41280,RoadType,qp02z7,48,11:45,Residential,RT-1: geohash mode,True
41409,RoadType,qp09hm,48,11:45,Residential,RT-1: geohash mode,True
41538,RoadType,qp0936,48,11:45,Residential,RT-1: geohash mode,True
41667,RoadType,qp09mp,48,11:45,Residential,RT-1: geohash mode,True
41796,RoadType,qp098h,48,11:45,Residential,RT-1: geohash mode,True
41925,RoadType,qp09cc,48,11:45,Residential,RT-1: geohash mode,True
42054,RoadType,qp03zz,48,11:45,Residential,RT-1: geohash mode,True
42183,RoadType,qp02zs,48,12:0,Residential,RT-1: geohash mode,True
42312,RoadType,qp03jy,48,12:0,Residential,RT-1: geohash mode,True
42441,RoadType,qp09k6,48,12:0,Residential,RT-1: geohash mode,True
42570,RoadType,qp03x0,48,12:0,Residential,RT-1: geohash mode,True
42699,RoadType,qp09eh,48,12:0,Highway,RT-1: geohash mode,True
42828,RoadType,qp09v1,48,12:0,Residential,RT-1: geohash mode,True
42957,RoadType,qp09gx,48,12:0,Residential,RT-1: geohash mode,True
43086,RoadType,qp08fj,48,12:15,Residential,RT-1: geohash mode,True
43215,RoadType,qp09hn,48,12:15,Residential,RT-1: geohash mode,True
43344,RoadType,qp097e,48,12:15,Residential,RT-1: geohash mode,True
43473,RoadType,qp09t2,48,12:15,Residential,RT-1: geohash mode,True
43602,RoadType,qp099t,48,12:15,Residential,RT-1: geohash mode,True
43731,RoadType,qp09u4,48,12:15,Residential,RT-1: geohash mode,True
43860,RoadType,qp0dh0,48,12:15,Residential,RT-1: geohash mode,True
43989,RoadType,qp08gy,48,12:30,Residential,RT-1: geohash mode,True
44118,RoadType,qp091z,48,12:30,Residential,RT-1: geohash mode,True
44247,RoadType,qp092s,48,12:30,Residential,RT-1: geohash mode,True
44376,RoadType,qp0991,48,12:30,Residential,RT-1: geohash mode,True
44505,RoadType,qp03xy,48,12:30,Highway,RT-1: geohash mode,True
44634,RoadType,qp03zh,48,12:30,Residential,RT-1: geohash mode,True
44763,RoadType,qp06nf,48,12:30,Residential,RT-1: geohash mode,True
44892,RoadType,qp0958,48,12:45,Residential,RT-1: geohash mode,True
45021,RoadType,qp0960,48,12:45,Residential,RT-1: geohash mode,True
45150,RoadType,qp03qq,48,12:45,Residential,RT-1: geohash mode,True
45279,RoadType,qp03tg,48,12:45,Residential,RT-1: geohash mode,True
45408,RoadType,qp09ex,48,12:45,Residential,RT-1: geohash mode,True
45537,RoadType,qp09fv,48,12:45,Residential,RT-1: geohash mode,True
45666,RoadType,qp0dhk,48,12:45,Residential,RT-1: geohash mode,True
45795,RoadType,qp095k,48,13:0,Residential,RT-1: geohash mode,True
45924,RoadType,qp03md,48,13:0,Residential,RT-1: geohash mode,True
46053,RoadType,qp096z,48,13:0,Highway,RT-1: geohash mode,True
46182,RoadType,qp03xs,48,13:0,Residential,RT-1: geohash mode,True
46311,RoadType,qp09f3,48,13:0,Residential,RT-1: geohash mode,True
46440,RoadType,qp03zz,48,13:0,Residential,RT-1: geohash mode,True
46569,RoadType,qp08bh,48,13:15,Residential,RT-1: geohash mode,True
46698,RoadType,qp03jr,48,13:15,Residential,RT-1: geohash mode,True
46827,RoadType,qp03rh,48,13:15,Residential,RT-1: geohash mode,True
46956,RoadType,qp0989,48,13:15,Residential,RT-1: geohash mode,True
47085,RoadType,qp098n,48,13:15,Residential,RT-1: geohash mode,True
47214,RoadType,qp09cu,48,13:15,Residential,RT-1: geohash mode,True
47343,RoadType,qp0d07,48,13:15,Residential,RT-1: geohash mode,True
47472,RoadType,qp03ps,48,13:30,Residential,RT-1: geohash mode,True
47601,RoadType,qp03mf,48,13:30,Residential,RT-1: geohash mode,True
47730,RoadType,qp096r,48,13:30,Highway,RT-1: geohash mode,True
47859,RoadType,qp099k,48,13:30,Residential,RT-1: geohash mode,True
47988,RoadType,qp09b6,48,13:30,Residential,RT-1: geohash mode,True
48117,RoadType,qp0d19,48,13:30,Residential,RT-1: geohash mode,True
48246,RoadType,qp0904,48,13:45,Residential,RT-1: geohash mode,True
48375,RoadType,qp0969,48,13:45,Residential,RT-1: geohash mode,True
48504,RoadType,qp03rp,48,13:45,Residential,RT-1: geohash mode,True
48633,RoadType,qp03xh,48,13:45,Residential,RT-1: geohash mode,True
48762,RoadType,qp09g3,48,13:45,Residential,RT-1: geohash mode,True
